customer_hk,cust_newsletter,cust_channel,cust_language,x_record_source,x_load_ts,_bv_source,cust_address,cust_city,cust_postal_code,cust_email,cust_phone,cust_segment,cust_loyalty_tier,cust_demo_score
0-226-106-246-172-59-28-28-73-215-195-215-156-96-208-0,N,PORTAL,es,CRM-c360-prefs,2024/01/01 00:00:00.000000000,PREFS,,,,,,,,
0-226-106-246-172-59-28-28-73-215-195-215-156-96-208-0,,,,CRM-c360-address,2024/01/01 00:00:00.000000000,ADDRESS,263 Market Street,Los Angeles,10163,,,,,
0-226-106-246-172-59-28-28-73-215-195-215-156-96-208-0,,,,CRM-c360-contact,2024/01/01 00:00:00.000000000,CONTACT,,,,customer1164@example.com,+1-555-1164,,,
0-226-106-246-172-59-28-28-73-215-195-215-156-96-208-0,,,,CRM-c360-demo,2024/01/01 00:00:00.000000000,DEMO,,,,,,SMB,PLATINUM,63
0-226-106-246-172-59-28-28-73-215-195-215-156-96-208-0,Y,PORTAL,es,CRM-c360-prefs,2024/05/01 00:00:00.000000000,PREFS,,,,,,,,
0-226-106-246-172-59-28-28-73-215-195-215-156-96-208-0,,,,CRM-c360-address,2024/05/01 00:00:00.000000000,ADDRESS,307 Updated Avenue,Philadelphia,10167,,,,,
0-226-106-246-172-59-28-28-73-215-195-215-156-96-208-0,,,,CRM-c360-contact,2024/05/01 00:00:00.000000000,CONTACT,,,,customer1164.v4@example.com,+1-555-1164-4,,,
0-226-106-246-172-59-28-28-73-215-195-215-156-96-208-0,,,,CRM-c360-demo,2024/05/01 00:00:00.000000000,DEMO,,,,,,SMB,PLATINUM,70
10-10-12-138-170-0-173-229-15-116-163-240-202-152-30-215,Y,EMAIL,en,CRM-c360-prefs,2024/01/01 00:00:00.000000000,PREFS,,,,,,,,
10-10-12-138-170-0-173-229-15-116-163-240-202-152-30-215,,,,CRM-c360-address,2024/01/01 00:00:00.000000000,ADDRESS,272 Market Street,Phoenix,10172,,,,,
10-10-12-138-170-0-173-229-15-116-163-240-202-152-30-215,,,,CRM-c360-contact,2024/01/01 00:00:00.000000000,CONTACT,,,,customer1173@example.com,+1-555-1173,,,
10-10-12-138-170-0-173-229-15-116-163-240-202-152-30-215,,,,CRM-c360-demo,2024/01/01 00:00:00.000000000,DEMO,,,,,,RETAIL,BRONZE,72
10-10-12-138-170-0-173-229-15-116-163-240-202-152-30-215,N,SMS,fr,CRM-c360-prefs,2024/02/01 00:00:00.000000000,PREFS,,,,,,,,
10-10-12-138-170-0-173-229-15-116-163-240-202-152-30-215,,,,CRM-c360-address,2024/02/01 00:00:00.000000000,ADDRESS,283 Updated Avenue,Philadelphia,10173,,,,,
10-10-12-138-170-0-173-229-15-116-163-240-202-152-30-215,,,,CRM-c360-contact,2024/02/01 00:00:00.000000000,CONTACT,,,,customer1173.v1@example.com,+1-555-1173-1,,,
10-10-12-138-170-0-173-229-15-116-163-240-202-152-30-215,,,,CRM-c360-demo,2024/02/01 00:00:00.000000000,DEMO,,,,,,WHOLESALE,SILVER,76
101-204-44-130-5-160-93-115-121-250-58-99-134-247-16-225,N,PORTAL,es,CRM-c360-prefs,2024/01/01 00:00:00.000000000,PREFS,,,,,,,,
101-204-44-130-5-160-93-115-121-250-58-99-134-247-16-225,,,,CRM-c360-address,2024/01/01 00:00:00.000000000,ADDRESS,119 Market Street,Los Angeles,10019,,,,,
101-204-44-130-5-160-93-115-121-250-58-99-134-247-16-225,,,,CRM-c360-contact,2024/01/01 00:00:00.000000000,CONTACT,,,,customer1020@example.com,+1-555-1020,,,
101-204-44-130-5-160-93-115-121-250-58-99-134-247-16-225,,,,CRM-c360-demo,2024/01/01 00:00:00.000000000,DEMO,,,,,,SMB,PLATINUM,69
101-204-44-130-5-160-93-115-121-250-58-99-134-247-16-225,Y,SMS,fr,CRM-c360-prefs,2024/03/01 00:00:00.000000000,PREFS,,,,,,,,
101-204-44-130-5-160-93-115-121-250-58-99-134-247-16-225,,,,CRM-c360-address,2024/03/01 00:00:00.000000000,ADDRESS,141 Updated Avenue,Houston,10021,,,,,
101-204-44-130-5-160-93-115-121-250-58-99-134-247-16-225,,,,CRM-c360-contact,2024/03/01 00:00:00.000000000,CONTACT,,,,customer1020.v2@example.com,+1-555-1020-2,,,
101-204-44-130-5-160-93-115-121-250-58-99-134-247-16-225,,,,CRM-c360-demo,2024/03/01 00:00:00.000000000,DEMO,,,,,,WHOLESALE,SILVER,74
103-138-20-145-81-75-127-16-6-214-5-233-22-25-70-177,Y,PHONE,de,CRM-c360-prefs,2024/01/01 00:00:00.000000000,PREFS,,,,,,,,
103-138-20-145-81-75-127-16-6-214-5-233-22-25-70-177,,,,CRM-c360-address,2024/01/01 00:00:00.000000000,ADDRESS,226 Market Street,New York,10126,,,,,
103-138-20-145-81-75-127-16-6-214-5-233-22-25-70-177,,,,CRM-c360-contact,2024/01/01 00:00:00.000000000,CONTACT,,,,customer1127@example.com,+1-555-1127,,,
103-138-20-145-81-75-127-16-6-214-5-233-22-25-70-177,,,,CRM-c360-demo,2024/01/01 00:00:00.000000000,DEMO,,,,,,ENTERPRISE,GOLD,76
103-138-20-145-81-75-127-16-6-214-5-233-22-25-70-177,N,SMS,fr,CRM-c360-prefs,2024/04/01 00:00:00.000000000,PREFS,,,,,,,,
103-138-20-145-81-75-127-16-6-214-5-233-22-25-70-177,,,,CRM-c360-address,2024/04/01 00:00:00.000000000,ADDRESS,259 Updated Avenue,Houston,10129,,,,,
103-138-20-145-81-75-127-16-6-214-5-233-22-25-70-177,,,,CRM-c360-contact,2024/04/01 00:00:00.000000000,CONTACT,,,,customer1127.v3@example.com,+1-555-1127-3,,,
103-138-20-145-81-75-127-16-6-214-5-233-22-25-70-177,,,,CRM-c360-demo,2024/04/01 00:00:00.000000000,DEMO,,,,,,WHOLESALE,SILVER,82
104-168-62-235-73-74-48-143-229-41-93-166-148-40-165-7,Y,PHONE,de,CRM-c360-prefs,2024/01/01 00:00:00.000000000,PREFS,,,,,,,,
104-168-62-235-73-74-48-143-229-41-93-166-148-40-165-7,,,,CRM-c360-address,2024/01/01 00:00:00.000000000,ADDRESS,358 Market Street,New York,10258,,,,,
104-168-62-235-73-74-48-143-229-41-93-166-148-40-165-7,,,,CRM-c360-contact,2024/01/01 00:00:00.000000000,CONTACT,,,,customer1259@example.com,+1-555-1259,,,
104-168-62-235-73-74-48-143-229-41-93-166-148-40-165-7,,,,CRM-c360-demo,2024/01/01 00:00:00.000000000,DEMO,,,,,,ENTERPRISE,GOLD,58
104-168-62-235-73-74-48-143-229-41-93-166-148-40-165-7,N,PHONE,de,CRM-c360-prefs,2024/05/01 00:00:00.000000000,PREFS,,,,,,,,
104-168-62-235-73-74-48-143-229-41-93-166-148-40-165-7,,,,CRM-c360-address,2024/05/01 00:00:00.000000000,ADDRESS,402 Updated Avenue,Phoenix,10262,,,,,
104-168-62-235-73-74-48-143-229-41-93-166-148-40-165-7,,,,CRM-c360-contact,2024/05/01 00:00:00.000000000,CONTACT,,,,customer1259.v4@example.com,+1-555-1259-4,,,
104-168-62-235-73-74-48-143-229-41-93-166-148-40-165-7,,,,CRM-c360-demo,2024/05/01 00:00:00.000000000,DEMO,,,,,,ENTERPRISE,GOLD,65
104-177-251-231-241-110-74-227-2-73-115-241-47-60-179-19,Y,EMAIL,en,CRM-c360-prefs,2024/01/01 00:00:00.000000000,PREFS,,,,,,,,
104-177-251-231-241-110-74-227-2-73-115-241-47-60-179-19,,,,CRM-c360-address,2024/01/01 00:00:00.000000000,ADDRESS,192 Market Street,Chicago,10092,,,,,
104-177-251-231-241-110-74-227-2-73-115-241-47-60-179-19,,,,CRM-c360-contact,2024/01/01 00:00:00.000000000,CONTACT,,,,customer1093@example.com,+1-555-1093,,,
104-177-251-231-241-110-74-227-2-73-115-241-47-60-179-19,,,,CRM-c360-demo,2024/01/01 00:00:00.000000000,DEMO,,,,,,RETAIL,BRONZE,92
104-177-251-231-241-110-74-227-2-73-115-241-47-60-179-19,N,SMS,fr,CRM-c360-prefs,2024/02/01 00:00:00.000000000,PREFS,,,,,,,,
104-177-251-231-241-110-74-227-2-73-115-241-47-60-179-19,,,,CRM-c360-address,2024/02/01 00:00:00.000000000,ADDRESS,203 Updated Avenue,Houston,10093,,,,,
104-177-251-231-241-110-74-227-2-73-115-241-47-60-179-19,,,,CRM-c360-contact,2024/02/01 00:00:00.000000000,CONTACT,,,,customer1093.v1@example.com,+1-555-1093-1,,,
