customer_id,email,phone,load_date,record_source
1038,customer1038.v1@example.com,+1-555-1038-1,2024-02-01,CRM-c360-contact
1043,customer1043.v1@example.com,+1-555-1043-1,2024-02-01,CRM-c360-contact
1048,customer1048.v1@example.com,+1-555-1048-1,2024-02-01,CRM-c360-contact
1053,customer1053.v1@example.com,+1-555-1053-1,2024-02-01,CRM-c360-contact
1058,customer1058.v1@example.com,+1-555-1058-1,2024-02-01,CRM-c360-contact
1063,customer1063.v1@example.com,+1-555-1063-1,2024-02-01,CRM-c360-contact
1068,customer1068.v1@example.com,+1-555-1068-1,2024-02-01,CRM-c360-contact
1073,customer1073.v1@example.com,+1-555-1073-1,2024-02-01,CRM-c360-contact
1078,customer1078.v1@example.com,+1-555-1078-1,2024-02-01,CRM-c360-contact
1083,customer1083.v1@example.com,+1-555-1083-1,2024-02-01,CRM-c360-contact
1088,customer1088.v1@example.com,+1-555-1088-1,2024-02-01,CRM-c360-contact
1093,customer1093.v1@example.com,+1-555-1093-1,2024-02-01,CRM-c360-contact
1098,customer1098.v1@example.com,+1-555-1098-1,2024-02-01,CRM-c360-contact
1103,customer1103.v1@example.com,+1-555-1103-1,2024-02-01,CRM-c360-contact
1108,customer1108.v1@example.com,+1-555-1108-1,2024-02-01,CRM-c360-contact
1113,customer1113.v1@example.com,+1-555-1113-1,2024-02-01,CRM-c360-contact
1118,customer1118.v1@example.com,+1-555-1118-1,2024-02-01,CRM-c360-contact
1123,customer1123.v1@example.com,+1-555-1123-1,2024-02-01,CRM-c360-contact
1128,customer1128.v1@example.com,+1-555-1128-1,2024-02-01,CRM-c360-contact
1133,customer1133.v1@example.com,+1-555-1133-1,2024-02-01,CRM-c360-contact
1138,customer1138.v1@example.com,+1-555-1138-1,2024-02-01,CRM-c360-contact
1143,customer1143.v1@example.com,+1-555-1143-1,2024-02-01,CRM-c360-contact
1148,customer1148.v1@example.com,+1-555-1148-1,2024-02-01,CRM-c360-contact
1153,customer1153.v1@example.com,+1-555-1153-1,2024-02-01,CRM-c360-contact
1158,customer1158.v1@example.com,+1-555-1158-1,2024-02-01,CRM-c360-contact
1163,customer1163.v1@example.com,+1-555-1163-1,2024-02-01,CRM-c360-contact
1168,customer1168.v1@example.com,+1-555-1168-1,2024-02-01,CRM-c360-contact
1173,customer1173.v1@example.com,+1-555-1173-1,2024-02-01,CRM-c360-contact
1178,customer1178.v1@example.com,+1-555-1178-1,2024-02-01,CRM-c360-contact
1183,customer1183.v1@example.com,+1-555-1183-1,2024-02-01,CRM-c360-contact
1188,customer1188.v1@example.com,+1-555-1188-1,2024-02-01,CRM-c360-contact
1193,customer1193.v1@example.com,+1-555-1193-1,2024-02-01,CRM-c360-contact
1198,customer1198.v1@example.com,+1-555-1198-1,2024-02-01,CRM-c360-contact
1203,customer1203.v1@example.com,+1-555-1203-1,2024-02-01,CRM-c360-contact
1208,customer1208.v1@example.com,+1-555-1208-1,2024-02-01,CRM-c360-contact
1213,customer1213.v1@example.com,+1-555-1213-1,2024-02-01,CRM-c360-contact
1218,customer1218.v1@example.com,+1-555-1218-1,2024-02-01,CRM-c360-contact
1223,customer1223.v1@example.com,+1-555-1223-1,2024-02-01,CRM-c360-contact
1228,customer1228.v1@example.com,+1-555-1228-1,2024-02-01,CRM-c360-contact
1233,customer1233.v1@example.com,+1-555-1233-1,2024-02-01,CRM-c360-contact
1238,customer1238.v1@example.com,+1-555-1238-1,2024-02-01,CRM-c360-contact
1243,customer1243.v1@example.com,+1-555-1243-1,2024-02-01,CRM-c360-contact
1248,customer1248.v1@example.com,+1-555-1248-1,2024-02-01,CRM-c360-contact
1253,customer1253.v1@example.com,+1-555-1253-1,2024-02-01,CRM-c360-contact
1258,customer1258.v1@example.com,+1-555-1258-1,2024-02-01,CRM-c360-contact
1263,customer1263.v1@example.com,+1-555-1263-1,2024-02-01,CRM-c360-contact
1268,customer1268.v1@example.com,+1-555-1268-1,2024-02-01,CRM-c360-contact
1273,customer1273.v1@example.com,+1-555-1273-1,2024-02-01,CRM-c360-contact
1278,customer1278.v1@example.com,+1-555-1278-1,2024-02-01,CRM-c360-contact
1283,customer1283.v1@example.com,+1-555-1283-1,2024-02-01,CRM-c360-contact
1288,customer1288.v1@example.com,+1-555-1288-1,2024-02-01,CRM-c360-contact
1293,customer1293.v1@example.com,+1-555-1293-1,2024-02-01,CRM-c360-contact
1298,customer1298.v1@example.com,+1-555-1298-1,2024-02-01,CRM-c360-contact
1003,customer1003.v1@example.com,+1-555-1003-1,2024-02-01,CRM-c360-contact
1008,customer1008.v1@example.com,+1-555-1008-1,2024-02-01,CRM-c360-contact
1013,customer1013.v1@example.com,+1-555-1013-1,2024-02-01,CRM-c360-contact
1018,customer1018.v1@example.com,+1-555-1018-1,2024-02-01,CRM-c360-contact
1023,customer1023.v1@example.com,+1-555-1023-1,2024-02-01,CRM-c360-contact
1028,customer1028.v1@example.com,+1-555-1028-1,2024-02-01,CRM-c360-contact
1033,customer1033.v1@example.com,+1-555-1033-1,2024-02-01,CRM-c360-contact
