customer_id,email,phone,load_date,record_source
1,customer1@example.com,+1-555-0001,2024-01-01,E2E-customer-contact
2,customer2@example.com,+1-555-0002,2024-01-01,E2E-customer-contact
3,customer3@example.com,+1-555-0003,2024-01-01,E2E-customer-contact
4,customer4@example.com,+1-555-0004,2024-01-01,E2E-customer-contact
5,customer5@example.com,+1-555-0005,2024-01-01,E2E-customer-contact
6,customer6@example.com,+1-555-0006,2024-01-01,E2E-customer-contact
7,customer7@example.com,+1-555-0007,2024-01-01,E2E-customer-contact
8,customer8@example.com,+1-555-0008,2024-01-01,E2E-customer-contact
9,customer9@example.com,+1-555-0009,2024-01-01,E2E-customer-contact
10,customer10@example.com,+1-555-0010,2024-01-01,E2E-customer-contact
11,customer11@example.com,+1-555-0011,2024-01-01,E2E-customer-contact
12,customer12@example.com,+1-555-0012,2024-01-01,E2E-customer-contact
13,customer13@example.com,+1-555-0013,2024-01-01,E2E-customer-contact
14,customer14@example.com,+1-555-0014,2024-01-01,E2E-customer-contact
15,customer15@example.com,+1-555-0015,2024-01-01,E2E-customer-contact
16,customer16@example.com,+1-555-0016,2024-01-01,E2E-customer-contact
17,customer17@example.com,+1-555-0017,2024-01-01,E2E-customer-contact
18,customer18@example.com,+1-555-0018,2024-01-01,E2E-customer-contact
19,customer19@example.com,+1-555-0019,2024-01-01,E2E-customer-contact
20,customer20@example.com,+1-555-0020,2024-01-01,E2E-customer-contact
21,customer21@example.com,+1-555-0021,2024-01-01,E2E-customer-contact
22,customer22@example.com,+1-555-0022,2024-01-01,E2E-customer-contact
23,customer23@example.com,+1-555-0023,2024-01-01,E2E-customer-contact
24,customer24@example.com,+1-555-0024,2024-01-01,E2E-customer-contact
25,customer25@example.com,+1-555-0025,2024-01-01,E2E-customer-contact
26,customer26@example.com,+1-555-0026,2024-01-01,E2E-customer-contact
27,customer27@example.com,+1-555-0027,2024-01-01,E2E-customer-contact
28,customer28@example.com,+1-555-0028,2024-01-01,E2E-customer-contact
29,customer29@example.com,+1-555-0029,2024-01-01,E2E-customer-contact
30,customer30@example.com,+1-555-0030,2024-01-01,E2E-customer-contact
31,customer31@example.com,+1-555-0031,2024-01-01,E2E-customer-contact
32,customer32@example.com,+1-555-0032,2024-01-01,E2E-customer-contact
33,customer33@example.com,+1-555-0033,2024-01-01,E2E-customer-contact
34,customer34@example.com,+1-555-0034,2024-01-01,E2E-customer-contact
35,customer35@example.com,+1-555-0035,2024-01-01,E2E-customer-contact
36,customer36@example.com,+1-555-0036,2024-01-01,E2E-customer-contact
37,customer37@example.com,+1-555-0037,2024-01-01,E2E-customer-contact
38,customer38@example.com,+1-555-0038,2024-01-01,E2E-customer-contact
39,customer39@example.com,+1-555-0039,2024-01-01,E2E-customer-contact
40,customer40@example.com,+1-555-0040,2024-01-01,E2E-customer-contact
41,customer41@example.com,+1-555-0041,2024-01-01,E2E-customer-contact
42,customer42@example.com,+1-555-0042,2024-01-01,E2E-customer-contact
43,customer43@example.com,+1-555-0043,2024-01-01,E2E-customer-contact
44,customer44@example.com,+1-555-0044,2024-01-01,E2E-customer-contact
45,customer45@example.com,+1-555-0045,2024-01-01,E2E-customer-contact
46,customer46@example.com,+1-555-0046,2024-01-01,E2E-customer-contact
